inclination,albedocold,albedohot
0,0.16,0.2
1,0.16,0.2
2,0.16,0.2
3,0.16,0.2
4,0.16,0.2
5,0.16,0.2
6,0.16,0.2
7,0.16,0.2
8,0.16,0.2
9,0.16,0.2
10,0.16,0.2
11,0.16,0.2
12,0.16,0.2
13,0.16,0.2
14,0.16,0.2
15,0.16,0.2
16,0.16,0.2
17,0.16,0.2
18,0.16,0.2
19,0.16,0.2
20,0.16,0.2
21,0.16,0.2
22,0.16,0.2
23,0.16,0.2
24,0.16,0.2
25,0.16,0.2
26,0.16,0.2
27,0.16,0.2
28,0.16,0.2
29,0.16,0.2
30,0.16,0.2
31,0.19,0.25
32,0.19,0.25
33,0.19,0.25
34,0.19,0.25
35,0.19,0.25
36,0.19,0.25
37,0.19,0.25
38,0.19,0.25
39,0.19,0.25
40,0.19,0.25
41,0.19,0.25
42,0.19,0.25
43,0.19,0.25
44,0.19,0.25
45,0.19,0.25
46,0.19,0.25
47,0.19,0.25
48,0.19,0.25
49,0.19,0.25
50,0.19,0.25
51,0.19,0.25
52,0.19,0.25
53,0.19,0.25
54,0.19,0.25
55,0.19,0.25
56,0.19,0.25
57,0.19,0.25
58,0.19,0.25
59,0.19,0.25
60,0.19,0.25
61,0.18,0.24
62,0.18,0.24
63,0.18,0.24
64,0.18,0.24
65,0.18,0.24
66,0.18,0.24
67,0.18,0.24
68,0.18,0.24
69,0.18,0.24
70,0.18,0.24
71,0.18,0.24
72,0.18,0.24
73,0.18,0.24
74,0.18,0.24
75,0.18,0.24
76,0.18,0.24
77,0.18,0.24
78,0.18,0.24
79,0.18,0.24
80,0.18,0.24
81,0.18,0.24
82,0.18,0.24
83,0.18,0.24
84,0.18,0.24
85,0.18,0.24
86,0.18,0.24
87,0.18,0.24
88,0.18,0.24
89,0.18,0.24
90,0.18,0.24
